id,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
1,23.18,27.272,426.0,721.25,0.004792988,1
2,23.15,27.2675,429.5,714.0,0.004783441,1
3,23.15,27.245,426.0,713.5,0.004779464,1
4,23.15,27.2,426.0,708.25,0.004771509,1
5,23.1,27.2,426.0,704.5,0.004756993,1
6,23.1,27.2,419.0,701.0,0.004756993,1
7,23.1,27.2,419.0,701.6666667,0.004756993,1
8,23.1,27.2,419.0,699.0,0.004756993,1
9,23.1,27.2,419.0,689.3333333,0.004756993,1
10,23.075,27.175,419.0,688.0,0.004745351,1
11,23.075,27.15,419.0,690.25,0.004740952,1
12,23.1,27.1,419.0,691.0,0.004739371,1
13,23.1,27.16666667,419.0,683.5,0.004751119,1
14,23.05,27.15,419.0,687.5,0.004733732,1
15,23.0,27.125,419.0,686.0,0.004714942,1
16,23.0,27.125,418.5,680.5,0.004714942,1
17,23.0,27.2,0.0,681.5,0.004728078,0
18,22.945,27.29,0.0,685.0,0.004727951,0
19,22.945,27.39,0.0,685.0,0.004745408,0
20,22.89,27.39,0.0,689.0,0.004729506,0
21,22.89,27.39,0.0,689.5,0.004729506,0
22,22.89,27.39,0.0,689.0,0.004729506,0
23,22.89,27.445,0.0,691.0,0.004739076,0
24,22.89,27.5,0.0,688.0,0.004748645,0
25,22.89,27.5,0.0,689.5,0.004748645,0
26,22.79,27.445,0.0,689.0,0.004710224,0
27,22.79,27.5,0.0,685.6666667,0.004719735,0
28,22.79,27.5,0.0,687.0,0.004719735,0
29,22.79,27.5,0.0,688.0,0.004719735,0
30,22.745,27.5,0.0,670.0,0.004706776,0
31,22.7,27.46333333,0.0,668.6666667,0.004687543,0
32,22.7,27.5,0.0,670.0,0.004693849,0
33,22.7,27.5,0.0,667.0,0.004693849,0
34,22.66666667,27.42666667,0.0,664.5,0.004671708,0
35,22.7,27.6,0.0,670.0,0.004711047,0
36,22.6,27.42666667,0.0,670.3333333,0.004652699,0
37,22.6,27.39,0.0,672.0,0.004646433,0
38,22.6,27.35666667,0.0,658.0,0.004640736,0
39,22.6,27.445,0.0,660.5,0.004655833,0
40,22.6,27.42666667,0.0,658.0,0.004652699,0
41,22.6,27.445,0.0,655.0,0.004655833,0
42,22.6,27.445,0.0,654.25,0.004655833,0
43,22.6,27.39,0.0,648.0,0.004646433,0
44,22.5,27.32333333,0.0,648.6666667,0.004606763,0
45,22.5,27.445,0.0,646.0,0.004627429,0
46,22.5,27.5,0.0,646.0,0.004636772,0
47,22.5,27.445,0.0,641.5,0.004627429,0
48,22.39,27.29,0.0,639.0,0.004570212,0
49,22.5,27.5,0.0,640.0,0.004636772,0
50,22.39,27.34,0.0,630.5,0.004578647,0
51,22.39,27.35666667,0.0,629.3333333,0.004581459,0
52,22.39,27.5,0.0,632.0,0.004605641,0
53,22.39,27.5,0.0,636.5,0.004605641,0
54,22.39,27.5,0.0,627.5,0.004605641,0
55,22.39,27.39,0.0,626.0,0.004587082,0
56,22.39,27.5,0.0,625.5,0.004605641,0
57,22.34,27.39,0.0,623.5,0.00457305,0
58,22.39,27.46333333,0.0,624.6666667,0.004599455,0
59,22.39,27.39,0.0,622.0,0.004587082,0
60,22.29,27.39,0.0,621.0,0.004559056,0
61,22.34,27.39,0.0,626.5,0.00457305,0
62,22.29,27.39,0.0,622.0,0.004559056,0
63,22.39,27.39,0.0,620.0,0.004587082,0
64,22.29,27.39,0.0,621.5,0.004559056,0
65,22.29,27.35666667,0.0,616.3333333,0.004553467,0
66,22.29,27.34,0.0,609.0,0.004550673,0
67,22.29,27.39,0.0,614.0,0.004559056,0
68,22.29,27.34,0.0,613.5,0.004550673,0
69,22.29,27.34,0.0,611.0,0.004550673,0
70,22.29,27.39,0.0,612.0,0.004559056,0
71,22.29,27.29,0.0,608.0,0.00454229,0
72,22.29,27.29,0.0,605.5,0.00454229,0
73,22.2675,27.315,0.0,608.5,0.004540214,0
74,22.2,27.29,0.0,608.5,0.004517288,0
75,22.245,27.29,0.0,602.5,0.004529774,0
76,22.2,27.29,0.0,598.0,0.004517288,0
77,22.2,27.29,0.0,595.0,0.004517288,0
78,22.2,27.29,0.0,591.0,0.004517288,0
79,22.245,27.245,0.0,591.0,0.00452225,0
80,22.2,27.2,0.0,595.0,0.004502283,0
81,22.2,27.29,0.0,594.3333333,0.004517288,0
82,22.2,27.29,0.0,593.5,0.004517288,0
83,22.2,27.29,0.0,592.0,0.004517288,0
84,22.15,27.245,0.0,586.5,0.004495971,0
85,22.2,27.2,0.0,586.0,0.004502283,0
86,22.15,27.245,0.0,586.0,0.004495971,0
87,22.2,27.245,0.0,584.5,0.004509785,0
88,22.1,27.245,0.0,584.5,0.004482195,0
89,22.1,27.2,0.0,585.5,0.004474738,0
90,22.13333333,27.2,0.0,584.6666667,0.004483903,0
91,22.2,27.2,0.0,577.0,0.004502283,0
92,22.1,27.2,0.0,580.0,0.004474738,0
93,22.125,27.2,0.0,582.0,0.00448161,0
94,22.2,27.2,0.0,580.0,0.004502283,0
95,22.1,27.15,0.0,578.0,0.004466454,0
96,22.1,27.2,0.0,576.5,0.004474738,0
97,22.1,27.2,0.0,580.0,0.004474738,0
98,22.1,27.2,0.0,572.5,0.004474738,0
99,22.1,27.2,0.0,567.0,0.004474738,0
